unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10249006,4229554,Occupant,Unspecified,U,Unspecified
10255054,4230587,Occupant,33.0,F,Unspecified
10253177,4230550,Occupant,55.0,M,Unspecified
6650180,3565527,Occupant,Unspecified,U,Unspecified
10255516,4231168,Occupant,7.0,F,Unspecified
10253606,4230743,Occupant,27.0,M,Unspecified
10251336,4230047,Occupant,41.0,F,Unspecified
10248708,4229547,Pedestrian,24.0,F,Unspecified
10250179,4229808,Occupant,36.0,M,Unspecified
10253792,4230915,Occupant,Unspecified,U,Unspecified
10253588,4230737,Occupant,30.0,M,Unspecified
10255322,4230840,Occupant,52.0,F,Unspecified
10254506,4230701,Occupant,Unspecified,U,Unspecified
10252623,4230916,Occupant,Unspecified,U,Unspecified
10252669,4231183,Occupant,0.0,U,Unspecified
10252969,4230912,Occupant,Unspecified,M,Unspecified
10255026,4230665,Occupant,34.0,M,Unspecified
10254996,4230576,Occupant,38.0,M,Unspecified
10254556,4230715,Bicyclist,42.0,M,Unspecified
10254007,4230612,Occupant,55.0,M,Unspecified
10254490,4230679,Occupant,Unspecified,M,Unspecified
10248817,4229587,Occupant,36.0,M,Unspecified
10255169,4230635,Occupant,Unspecified,U,Unspecified
10249284,4230144,Occupant,43.0,F,Unspecified
10253825,4230931,Occupant,30.0,F,Unspecified
10248286,4229627,Occupant,57.0,M,Unspecified
10252430,4229753,Occupant,Unspecified,U,Unspecified
10254806,4230765,Occupant,59.0,M,Unspecified
10253863,4230926,Occupant,37.0,M,Unspecified
10248512,4229674,Occupant,Unspecified,U,Unspecified
10255170,4230635,Occupant,52.0,M,Unspecified
10250834,4230376,Bicyclist,36.0,M,Unspecified
10253630,4230790,Occupant,44.0,F,Unspecified
10248383,4229662,Occupant,28.0,F,Unspecified
10250954,4230430,Occupant,Unspecified,U,Unspecified
10252810,4231118,Occupant,Unspecified,U,Unspecified
10253139,4230549,Occupant,49.0,M,Unspecified
10254943,4230866,Occupant,13.0,F,Unspecified
10248954,4229616,Occupant,Unspecified,U,Unspecified
10253511,4230733,Occupant,67.0,M,Unspecified
10252438,4229771,Occupant,Unspecified,F,Unspecified
10250831,4230358,Occupant,Unspecified,U,Unspecified
10248955,4229616,Occupant,81.0,M,Unspecified
10254302,4231177,Occupant,64.0,M,Unspecified
10252474,4229773,Occupant,50.0,F,Unspecified
10253763,4230652,Occupant,62.0,F,Unspecified
10248079,4229504,Occupant,68.0,M,Unspecified
10252980,4230907,Occupant,53.0,F,Unspecified
10253130,4230580,Occupant,42.0,M,Unspecified
10250823,4230375,Occupant,Unspecified,F,Unspecified
10248665,4229640,Occupant,78.0,M,Unspecified
10254492,4230699,Occupant,38.0,M,Unspecified
10254970,4230562,Occupant,35.0,M,Unspecified
10251121,4230133,Occupant,45.0,M,Unspecified
10251087,4230391,Occupant,36.0,M,Unspecified
10255302,4230842,Occupant,23.0,F,Unspecified
10255274,4230958,Occupant,29.0,F,Unspecified
10250609,4230209,Occupant,71.0,M,Unspecified
11318006,4322803,Occupant,3.0,M,Unspecified
10251338,4230047,Occupant,29.0,M,Unspecified
10255330,4230969,Occupant,44.0,M,Unspecified
10248477,4229612,Occupant,33.0,F,Unspecified
10255145,4230677,Occupant,49.0,F,Unspecified
10249714,4229854,Occupant,29.0,M,Unspecified
10253839,4230925,Occupant,42.0,M,Unspecified
10254537,4230709,Occupant,52.0,M,Unspecified
11319591,4323168,Occupant,30.0,M,Unspecified
